Timestamp,User,Action
2026-08-22 09:22:55,Admin Officer,Started Live Stream (Laptop Integrated Webcam)
2026-08-22 09:23:43,Admin Officer,Initiated Ultra-Fast Video Search (Speed: 50x)
2026-08-22 09:24:38,Admin Officer,Initiated Ultra-Fast Video Search (Speed: 10x)
2026-08-22 09:33:02,Admin Officer,Initiated Search for Plate: AK64 DMV
2026-08-22 09:37:40,Admin Officer,Initiated FRS Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:39:36,Admin Officer,Initiated FRS/ANPR Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:44:45,Admin Officer,Initiated Ultra-Fast Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:45:46,Admin Officer,Initiated Ultra-Fast Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:46:04,Admin Officer,Initiated Ultra-Fast Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:47:47,Admin Officer,Initiated FRS/ANPR Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:50:09,Admin Officer,Initiated Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:50:52,Admin Officer,Initiated Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:52:15,Admin Officer,Initiated Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:52:29,Admin Officer,Initiated Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:53:04,Admin Officer,Initiated Search in video Screen Recording 2026-08-21 213949.mp4
2026-08-22 09:53:34,Admin Officer,Started Live Feed: http://10.18.12.10:8080/video
2026-08-22 09:53:53,Admin Officer,Started Live Feed: http://10.18.12.10:8080/video
2026-08-22 09:54:44,Admin Officer,Started Live Feed: http://10.21.177.238.8080
2026-08-22 09:54:56,Admin Officer,Started Live Feed: http://10.21.177.238:8080
2026-08-22 09:55:42,Admin Officer,Started Live Feed: 0
2026-08-22 10:00:26,Admin Officer,Started live stream on source: http://10.21.177.238:8080/video
2026-08-22 10:00:43,Admin Officer,Started live stream on source: http://10.21.177.238:8080
2026-08-22 10:00:45,Admin Officer,Started live stream on source: http://10.21.177.238:8080
2026-08-22 10:01:21,Admin Officer,Started live stream on source: IPv4: http://10.21.177.238:8080
2026-08-22 10:01:23,Admin Officer,Started live stream on source: IPv4: http://10.21.177.238:8080
2026-08-22 10:01:53,Admin Officer,Started live stream on source: 0
2026-08-22 10:01:56,Admin Officer,Started live stream on source: 0
2026-08-22 10:02:02,Admin Officer,Started live stream on source: 0
2026-08-22 10:02:28,Admin Officer,Initiated video search on file Screen Recording 2026-08-21 213949.mp4
2026-08-22 10:05:34,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:06:21,Admin Officer,Initiated Search for 
2026-08-22 10:06:32,Admin Officer,Initiated Search for 
2026-08-22 10:06:55,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:07:14,Admin Officer,Initiated Search for AK64
2026-08-22 10:07:32,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:08:12,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:08:52,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 10:13:56,Admin Officer,Initiated Search for HR51BX3132
2026-08-22 10:16:37,Admin Officer,Initiated Search for HR51BX3132
2026-08-22 10:17:04,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 10:17:24,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:17:53,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:17:56,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:19:47,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:21:43,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:21:55,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:22:06,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 10:22:13,Admin Officer,Started Stream (Hackathon Govt Live Stream URL)
2026-08-22 10:22:50,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:49:12,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 10:50:54,Admin Officer,Initiated Search for 
2026-08-22 10:51:35,Admin Officer,Initiated Search for 
2026-08-22 10:52:30,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 10:53:22,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 10:53:31,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 12:18:12,Admin Officer,Initiated Search for 
2026-08-22 12:25:39,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 12:27:10,Admin Officer,Initiated Search for 
2026-08-22 12:30:03,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 12:31:00,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 12:32:30,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 12:32:53,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 12:34:05,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 12:34:35,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 12:35:50,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 12:41:18,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 12:42:57,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 12:49:44,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 12:50:26,Admin Officer,Initiated Search for 
2026-08-22 12:51:59,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 12:54:03,Admin Officer,Initiated Search for 
2026-08-22 12:56:38,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 12:56:58,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 12:57:01,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 12:57:35,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 13:21:02,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:21:38,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:21:48,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:23:22,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 13:23:23,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 13:23:26,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 13:23:29,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 13:27:01,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:28:15,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:28:20,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:29:19,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:29:27,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:30:43,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:33:03,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:34:45,Admin Officer,Initiated Search in Screen Recording 2026-08-21 213949.mp4
2026-08-22 13:36:17,Admin Officer,Initiated Search for EY61 NGB
2026-08-22 13:36:21,Admin Officer,Initiated Search for EY61 NGB
2026-08-22 13:37:35,Admin Officer,Initiated Search for EY61 NGB
2026-08-22 13:38:03,Admin Officer,Initiated Search for 
2026-08-22 17:28:17,Admin Officer,Initiated Search for 
2026-08-22 17:28:39,Admin Officer,Initiated Search for EY61 NGB 
2026-08-22 17:29:24,Admin Officer,Initiated Search for EY61 NBG
2026-08-22 17:29:59,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 17:30:07,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 17:30:19,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 17:30:29,Admin Officer,Started Stream (Hackathon Govt Live Stream URL)
2026-08-22 17:59:40,Admin Officer,Started Stream (Mobile IP Camera Stream)
2026-08-22 17:59:45,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 18:00:22,Admin Officer,Started Stream (Hackathon Govt Live Stream URL)
2026-08-22 18:01:06,Admin Officer,Initiated Search for 
2026-08-22 18:01:38,Admin Officer,Initiated Search for EY61 NBG
2026-08-22 18:02:32,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 18:03:12,Admin Officer,Initiated Search for 
2026-08-22 18:05:32,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 18:13:38,Admin Officer,Initiated Search for AK64 DMV
2026-08-22 18:17:06,Admin Officer,Initiated Search for Plate:AK64 DMV
2026-08-22 18:23:02,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:23:08,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:27:13,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:32:25,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:32:31,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:48:36,Admin Officer,Started Stream (Laptop Integrated Webcam)
2026-08-22 18:49:32,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:52:23,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:52:52,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-22 18:53:30,Admin Officer,Initiated Fast Search for Plate:AK64 DMV
2026-08-23 10:14:32,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 10:15:02,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 10:23:10,Admin Officer,Started Live Stream (Laptop Integrated Webcam)
2026-08-23 10:26:20,Admin Officer,Started Live Stream (Mobile IP Camera Stream)
2026-08-23 10:26:46,Admin Officer,Started Live Stream (Mobile IP Camera Stream)
2026-08-23 10:26:46,Admin Officer,Started Live Stream (Mobile IP Camera Stream)
2026-08-23 10:30:00,Admin Officer,Queried VAHAN/CCTNS DB for HN14OUC
2026-08-23 10:40:18,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 10:42:15,Admin Officer,Started Laptop Webcam Monitor
2026-08-23 11:02:08,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:20:47,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:24:08,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:27:09,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:29:35,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:32:38,Admin Officer,Ran AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:39:09,Admin Officer,Started Laptop Webcam Monitor
2026-08-23 11:40:32,Admin Officer,Started Mobile Patrol Scanner
2026-08-23 11:54:48,Admin Officer,Ran Full AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 11:56:58,Admin Officer,Ran Full AI Forensic Scan on Screen Recording 2026-08-21 213949.mp4
2026-08-23 12:01:03,Admin Officer,Started Laptop Webcam Monitor
